num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
251,113,129,1000,16000,70083519,149019,24106,666,180000000,2007,6000,6.1,2.35,0
446,201,0,84,6000,218051260,316018,7123,2618,207000000,2005,919,7.2,2.35,0
315,194,0,794,29000,658672302,793059,45223,2528,200000000,1997,14000,7.7,2.35,26000
516,147,94,11000,21000,407197282,272670,64798,1022,250000000,2016,19000,8.2,2.35,72000
377,131,532,627,14000,65173160,202382,26679,751,209000000,2012,10000,5.9,2.35,44000
644,124,365,1000,3000,652177271,418214,8458,1290,150000000,2015,2000,7,2,150000
750,143,0,393,883,304360277,522030,2039,1498,200000000,2012,563,7.8,2.35,80000
300,135,0,4000,24000,373377893,411164,43388,1303,200000000,2004,11000,7.3,2.35,0
608,195,1000,3000,21000,408992272,557489,30426,1187,200000000,2013,4000,7.2,2.35,95000
451,108,13000,11000,40000,334185206,306320,79957,736,200000000,2010,25000,6.5,1.85,24000
334,104,420,560,20000,234360014,383427,21714,1912,210000000,2006,808,6.8,2.35,0
376,104,37,760,12000,268488329,235025,14863,265,200000000,2013,779,7.3,1.85,44000
366,150,0,464,894,402076689,323207,3218,1439,200000000,2009,581,6,2.35,0
378,165,0,808,974,245428137,242420,3988,918,210000000,2014,956,5.7,2.35,56000
525,130,0,11000,44000,234903076,175409,73441,511,215000000,2013,15000,6.4,2.35,60000
495,142,464,825,15000,202853933,321227,28631,1067,200000000,2014,10000,6.7,2.35,41000
469,125,364,1000,12000,172051787,264183,25550,665,170000000,2010,10000,6.8,2.35,30000
304,106,487,776,1000,191450875,101178,4482,283,200000000,2011,919,6.3,2.35,10000
436,123,258,326,16000,116593191,223393,17657,550,200000000,2011,368,5.6,2.35,24000
453,103,125,721,15000,414984497,544884,19085,733,200000000,2010,1000,8.3,1.85,30000
422,118,368,988,23000,125320003,286095,27468,974,200000000,2009,3000,6.6,2.35,0
424,140,0,14000,26000,350034110,278232,79150,657,190000000,2015,23000,7.2,2.35,94000
654,123,395,1000,17000,202351611,465019,32392,995,190000000,2013,11000,7,2.35,129000
539,149,0,20000,34000,233914986,514125,91434,752,200000000,2014,22000,8,2.35,82000
590,132,14000,928,19000,228756232,395573,21411,1171,190000000,2013,981,7.8,2.35,92000
338,114,0,140,979,65171860,106416,1766,205,195000000,2013,557,6.3,2.35,22000
490,143,1000,77,29000,144812796,362912,29770,753,105000000,2013,509,7.3,2.35,115000
306,116,179,236,15000,90755643,222403,16149,453,200000000,2010,567,6.6,2.35,23000
575,131,0,919,16000,101785482,381148,19166,1106,190000000,2013,968,7,1.85,83000
428,154,0,581,894,352358779,326180,2593,899,195000000,2011,829,6.3,2.35,46000
470,122,14000,1000,11000,317011114,333847,14959,2054,185000000,2008,1000,6.2,2.35,5000
298,93,113,113,275,123070338,62836,696,345,,2015,150,6.8,2.35,20000
488,93,56,838,2000,237282182,273556,5005,428,185000000,2012,1000,7.2,2.35,39000
322,122,681,105,998,130468626,53607,1327,432,185000000,2016,119,7.5,2.35,30000
421,98,475,522,1000,223806889,718837,2975,1043,180000000,2008,729,8.4,2.35,16000
162,91,420,173,268,140080850,121084,1125,221,140000000,2007,268,6.2,2.35,0
367,158,776,310,1000,166112167,283418,2144,1055,200000000,2009,468,5.8,2.35,13000
240,96,0,10000,18000,137850096,72809,48878,249,200000000,2009,14000,6.8,2.35,0
384,127,0,13000,17000,47375327,139593,47334,720,176000000,2015,15000,5.4,2.35,44000
248,110,282,103,11000,124051759,42372,21175,239,180000000,2016,10000,6.6,2.35,29000
284,150,80,82,1000,291709845,286506,1317,1463,180000000,2005,190,6.9,2.35,0
396,144,0,1000,34000,154985087,148379,49684,622,178000000,2016,13000,7.3,2.35,54000
645,152,22000,11000,23000,533316061,1676169,57802,4667,185000000,2008,13000,9,2.35,37000
408,96,0,262,1000,292979556,665575,2635,704,175000000,2009,848,8.3,1.85,27000
219,94,11,459,1000,198332128,114553,2579,187,175000000,2009,973,6.5,2.35,0
486,126,4000,4000,21000,318298180,696338,39252,1055,140000000,2008,12000,7.9,2.35,10000
682,126,17000,1000,17000,73820094,245333,36017,678,170000000,2011,16000,7.5,1.85,42000
85,106,188,582,10000,113745408,129601,15870,648,170000000,1999,4000,4.8,1.85,0
264,112,357,595,5000,102176165,117927,9131,501,145000000,2008,3000,5.2,2.35,0
418,123,452,329,10000,161087183,118992,11287,971,175000000,2016,336,6.9,2.35,80000
186,96,293,7000,87000,100289690,115099,108016,257,175000000,2007,11000,5.4,2.35,2000
585,113,218,509,10000,100189501,431620,12652,741,178000000,2014,854,7.9,2.35,77000
91,176,58,60,711,88246220,144337,1004,309,175000000,1995,60,6.1,1.85,0
250,118,208,570,23000,150167630,174578,26683,534,175000000,2009,2000,5.8,2.35,0
536,95,0,384,1000,356454367,345198,2944,773,175000000,2015,767,8.3,1.85,118000
370,106,4000,591,19000,362645141,106072,32921,398,175000000,2016,13000,7.8,1.85,65000
453,124,4000,4000,21000,312057433,522371,48638,723,200000000,2010,19000,7,2.35,18000
416,132,274,11000,26000,155111815,228554,72881,710,170000000,2012,17000,6.1,2.35,53000
401,97,171,846,11000,241407328,252257,15516,634,180000000,2014,2000,7,2.35,89000
521,130,198,884,10000,208543795,317542,14363,620,170000000,2014,2000,7.6,1.85,45000
10,109,596,283,622,,2138,1982,15,,2015,525,4.5,,677
218,128,47,982,18000,38297305,116994,20965,324,175000000,2013,1000,6.3,2.35,35000
576,136,94,2000,19000,259746958,496749,36188,742,170000000,2014,11000,7.8,2.35,55000
226,93,31,213,4000,238371987,138661,4628,173,165000000,2010,225,6.4,2.35,0
443,130,663,604,2000,93417865,128306,5046,497,190000000,2015,638,6.5,2.2,37000
384,102,38,562,756,222487711,279093,2963,433,165000000,2014,719,7.9,2.39,41000
377,101,66,833,975,189412677,272534,4451,345,165000000,2012,931,7.8,2.35,40000
188,100,0,267,15000,665426,120798,16264,444,165000000,2004,726,6.6,2.35,10000
286,120,776,535,890,102315545,58137,3233,520,165000000,2016,812,5.5,2.35,67000
288,98,255,759,18000,217387997,485430,20453,492,165000000,2010,953,8.2,2.35,33000
280,109,84,191,648,150350192,305340,1769,1676,200000000,2003,284,6.4,2.35,0
653,121,571,3000,14000,333130696,682155,32438,1097,170000000,2014,14000,8.1,2.35,96000
712,169,22000,6000,11000,187991439,928227,31488,2725,165000000,2014,11000,8.6,2.35,349000
642,148,22000,23000,29000,292568851,1468200,81115,2803,160000000,2010,27000,8.8,2.35,175000
1,120,28,12,544,,374,699,13,,2016,106,8.2,2.35,0
645,182,0,773,5000,303001229,637246,9152,1367,180000000,2012,972,7.9,2.35,166000
187,106,357,4000,23000,144512310,272223,45327,988,38000000,2001,14000,6.7,2.35,14000
362,166,21000,919,11000,127490802,459346,13333,822,150000000,2008,1000,7.8,2.35,23000
500,132,905,1000,34000,146405371,518537,50983,698,160000000,2011,13000,7.8,2.35,54000
389,137,508,14000,34000,281666058,166137,81385,383,160000000,2015,22000,6.6,2.35,38000
235,109,226,370,12000,63143812,124185,13388,238,150000000,2010,418,6.1,2.35,11000
231,98,249,702,87000,60655503,82380,92456,629,160000000,2006,2000,5.6,2.35,0
218,113,33,11000,40000,76846624,21352,80806,131,170000000,2016,25000,6.4,1.85,30000
227,93,50,692,3000,320706665,211971,4705,326,160000000,2007,795,6.1,1.85,0
275,123,0,648,3000,46978995,111609,5505,781,160000000,2016,716,7.3,2.35,89000
474,126,230,2000,24000,89732035,188457,38873,867,155000000,2015,10000,6.6,2.35,82000
228,113,150,59,531,104383624,106446,764,227,155000000,2010,82,6.3,1.78,11000
191,184,0,691,3000,198539855,254111,5401,1999,140000000,2001,961,6.1,2.35,0
396,144,0,581,662,318759914,513158,2333,1782,150000000,2007,599,7.1,2.35,8000
248,206,0,591,12000,34293771,138863,24598,1390,155000000,2004,11000,5.5,2.35,0
329,138,282,687,21000,292000866,355137,33433,1108,150000000,2007,11000,7.5,2.35,0
295,157,179,10000,21000,289994397,385670,53413,1896,150000000,2005,11000,7.6,2.35,0
318,102,532,979,10000,227946274,343648,21584,590,150000000,2008,9000,6.4,2.35,0
323,104,508,558,10000,256386216,530870,13076,1413,150000000,2007,1000,7.2,2.35,11000
276,115,13000,588,40000,206456431,320284,57844,1361,150000000,2005,16000,6.7,1.85,0
318,111,663,954,1000,206435493,473887,4764,626,150000000,2007,1000,8,2.35,10000
478,128,22000,11000,23000,205343774,980946,59558,2685,150000000,2005,14000,8.3,2.35,15000
167,89,35,436,1000,179982968,146019,3285,119,150000000,2008,851,6.7,1.85,0
185,105,189,1000,49000,177243721,130272,54039,209,150000000,2009,3000,5.9,2.35,2000
350,119,151,2000,20000,179883016,361924,40054,641,150000000,2009,16000,6.7,2.35,0
245,129,0,233,309,139259759,364948,1062,2121,150000000,2003,269,6.7,2.35,0
406,102,69,490,1000,400736600,421658,2582,904,150000000,2013,523,7.6,2.24,58000
275,138,0,30,234,281492479,421818,534,2789,150000000,2003,198,7.2,2.35,0
486,112,230,12000,26000,206360018,414070,59803,532,170000000,2013,20000,7.1,2.35,63000
739,120,750,943,27000,153629485,552503,40025,1588,150000000,2015,9000,8.1,2.35,191000
298,146,2000,294,15000,133375846,207839,16948,435,150000000,2009,745,6.7,2.35,0
516,115,0,12000,26000,181015141,536314,60059,738,150000000,2011,20000,7,2.35,63000
225,96,59,699,17000,114053579,146766,20007,178,150000000,2008,759,6.9,1.85,0
145,88,12,182,730,119420252,33042,2217,90,150000000,2009,607,5.1,2.35,0
310,99,473,502,14000,83640426,152826,16184,253,150000000,2012,897,5.8,1.85,19000
526,113,13000,16000,40000,79711678,199039,80849,479,100000000,2012,17000,6.2,1.85,82000
465,131,188,641,10000,195000874,232187,21840,440,150000000,2015,10000,7.4,2.35,47000
357,119,394,162,12000,61937495,89442,13071,432,150000000,2010,490,5.8,1.85,0
248,110,282,103,11000,124051759,42372,21175,239,180000000,2016,10000,6.6,2.35,29000
194,91,58,826,2000,126597121,105902,6576,206,150000000,2007,852,6.2,1.85,0
284,90,90,15,11000,165230261,182718,21015,209,150000000,2011,10000,7.3,2.35,20000
280,103,0,346,1000,131564731,118951,2857,1382,150000000,2010,756,4.2,2.35,18000
310,124,14000,979,22000,133382309,256695,34817,871,150000000,2006,10000,6.9,2.35,0
339,131,776,256,17000,73103784,164238,18204,434,150000000,2013,551,6.4,2.35,33000
132,88,25,433,921,21379315,17590,2652,112,150000000,2011,562,5.4,2.35,0
135,85,42,586,20000,64459316,85086,35161,122,149000000,2006,14000,6.7,1.85,0
256,111,456,394,20000,34964818,39956,21393,186,150000000,2015,548,5.8,2.35,24000
196,92,50,517,3000,111505642,47900,5810,130,145000000,2014,1000,6.9,1.85,11000
220,196,249,844,11000,133228348,381672,17944,1694,175000000,2004,5000,7.2,2.35,0
211,93,35,436,851,216366733,119213,2444,154,145000000,2012,770,6.9,1.85,17000
264,133,93,746,769,160201106,169914,2538,1185,142000000,2002,766,6.1,2.35,0
464,116,176,322,783,118099659,69757,2097,1211,144000000,2016,370,5.5,2.35,62000
167,153,0,537,13000,201573391,322395,26029,1171,140000000,1998,12000,6.6,2.35,11000
208,88,188,826,10000,190418803,270207,14823,606,140000000,2002,3000,6.1,1.85,2000
287,115,0,964,18000,82161969,142440,31523,505,150000000,2007,12000,6.3,2.35,3000
210,95,5,967,24000,143523463,64322,36095,145,145000000,2016,11000,7.2,2.35,24000
432,133,663,690,10000,209364921,365104,21768,512,145000000,2011,10000,7.4,2.35,35000
256,97,52,161,20000,103400692,123553,20645,174,145000000,2012,315,7.3,1.85,25000
135,90,23,233,957,110332737,110788,1997,258,100000000,2005,550,6.1,2.35,2000
190,154,380,445,10000,111110575,317166,11945,928,140000000,2003,956,7.7,2.35,0
314,150,0,748,23000,65007045,128682,26490,657,140000000,2014,893,6.1,2.35,51000
518,127,14000,981,26000,257704099,504419,39284,1559,150000000,2009,12000,8,2.35,19000
291,121,0,4000,24000,403706375,544665,40484,2012,139000000,2002,11000,7.3,1.85,5000
292,102,255,953,18000,176997107,221128,23378,343,145000000,2014,3000,7.9,2.35,46000
184,126,295,284,18000,31141074,51892,19769,273,140000000,2016,934,5.5,2.35,24000
145,121,357,653,820,31704416,45455,2705,388,135000000,2005,780,5,2.35,0
451,215,0,413,986,107503316,392474,2530,1229,130000000,2009,745,7.7,2.35,18000
141,127,503,91,5000,129734803,127497,6171,287,140000000,1998,808,6.6,2.35,0
267,138,0,258,820,132122995,212106,1814,1445,137000000,2003,300,5.7,1.85,0
351,122,209,934,17000,122512052,146352,31958,288,130000000,2013,12000,5.8,2.35,42000
163,124,42,848,11000,68642452,77673,13073,463,130000000,2005,973,6,2.35,0
166,106,6,422,12000,32131830,72259,15015,788,137000000,2001,2000,6.4,1.85,0
510,124,394,2000,11000,176636816,508818,19761,679,140000000,2011,3000,6.9,2.35,46000
197,128,150,244,766,126930660,157519,2037,683,135000000,1999,536,6.4,2.35,2000
244,138,608,168,613,93926386,168207,1205,684,150000000,2003,172,7.4,2.35,0
322,115,386,12000,21000,292298923,185394,59177,329,120000000,2012,17000,5.5,2.35,65000
156,100,750,988,49000,63992328,32399,62644,79,135000000,2011,11000,5.9,2.35,0
354,135,255,882,3000,134518390,326286,5811,643,150000000,2008,1000,6.8,2.35,0
21,60,,184,982,,16769,1687,74,1500000,,321,7.5,1.33,0
252,117,14000,358,535,52792307,12572,1950,106,140000000,2016,400,6.8,2.35,27000
556,156,0,733,29000,183635922,406020,57108,1188,135000000,2015,27000,8.1,2.35,190000
166,96,13,463,16000,83024900,62424,17416,90,135000000,2013,881,6.5,2.35,13000
362,107,563,939,40000,123207194,183208,43291,337,135000000,2011,1000,7.2,2.35,26000
153,92,35,179,19000,83348920,60230,19963,118,132000000,2014,411,6.7,1.85,11000
329,115,521,883,13000,227137090,491077,17369,820,110000000,2007,897,8.1,2.35,0
266,92,54,562,11000,215395021,307029,12754,360,130000000,2008,967,7.6,2.35,6000
517,117,235,680,2000,180191634,313866,5730,549,130000000,2015,2000,7.4,1.85,61000
502,146,508,523,34000,424645577,498397,49355,706,130000000,2013,14000,7.6,2.35,82000
322,115,386,12000,21000,292298923,185394,59177,329,120000000,2012,17000,5.5,2.35,65000
165,94,12,183,17000,177343675,70121,17883,214,135000000,2015,523,6.7,1.85,26000
401,116,14000,807,10000,234277056,334345,12758,2741,132000000,2005,1000,6.5,1.85,0
94,147,0,877,10000,138396624,178126,12954,511,130000000,2003,898,6.6,2.35,0
246,90,50,397,4000,149234747,114287,5046,137,130000000,2011,442,6.7,2.35,16000
330,101,176,282,11000,118311368,245621,12406,514,110000000,2010,702,6.4,2.35,23000
434,138,0,8000,12000,101160529,200022,32355,1240,125000000,2014,9000,5.8,1.85,71000
440,107,14000,845,2000,77564037,177383,4631,447,135000000,2011,871,7.4,2.35,44000
274,142,0,10000,11000,249358727,382255,33284,1504,130000000,2004,10000,7.8,2.35,11000
245,165,1000,165,309,49551662,102338,921,450,130000000,2008,284,6.6,2.35,0
349,100,0,894,10000,60522097,158720,14168,744,130000000,2013,943,4.9,2.35,37000
145,82,0,388,1000,137748063,38438,2945,241,127500000,2000,558,6.5,1.85,0
1,,0,159,10000,,381,11036,2,,2011,570,7.5,,40
154,98,189,1000,49000,113733726,67223,53587,126,127000000,2014,3000,6.2,1.85,11000
233,95,96,8000,24000,148337537,172754,46120,187,130000000,2010,11000,7.3,2.35,13000
258,159,0,645,11000,317557891,444683,13191,1571,125000000,2001,687,7.5,2.35,16000
208,96,124,1000,16000,33592415,91640,31549,210,130000000,2013,12000,5.6,2.35,20000
1,120,28,12,544,,374,699,13,,2016,106,8.2,2.35,0
271,143,563,1000,40000,305388685,809474,48184,2113,140000000,2003,5000,8.1,2.35,10000
4,,0,1000,10000,,252,14719,2,,2010,2000,6.4,,25
403,123,508,14000,34000,337103873,305008,81385,591,125000000,2014,22000,6.7,2.35,52000
294,174,2000,362,15000,217536138,314253,16008,1966,125000000,2006,574,6.6,2.35,0
159,101,107,56,688,131536019,58498,1031,99,103000000,2014,237,6.4,2.35,0
289,134,0,346,20000,214948780,405973,20952,1055,110000000,2003,505,7.5,2.35,0
342,132,681,12000,23000,209805005,284792,55345,366,125000000,2011,14000,7.3,2.35,54000
382,129,0,154,21000,186830669,338635,22403,412,125000000,2011,979,7.5,2.35,39000
344,106,255,850,14000,163192114,229679,18003,637,125000000,2010,1000,5.8,2.35,15000
196,113,719,217,605,119412921,240241,1441,391,65000000,1990,308,7.5,1.85,0
85,102,323,241,845,32694788,101411,1815,546,85000000,1999,372,6.6,2.35,0
436,135,209,602,10000,113165635,229823,12175,504,125000000,2012,826,6.7,2.35,31000
183,125,541,409,920,107285004,189855,2699,1018,125000000,1997,890,3.7,1.85,0
175,110,2000,636,1000,260031035,141414,4146,482,123000000,2000,722,6,1.85,0
239,124,776,812,15000,186739919,333248,20553,1159,125000000,2004,2000,6.4,2.35,19000
237,123,610,653,10000,215397307,242188,11930,1426,125000000,2000,794,6.1,2.35,0
231,130,249,461,784,182618434,133076,2684,779,140000000,2000,638,6.4,2.35,0
262,92,167,702,11000,131920333,213275,15302,436,130000000,2007,2000,5.6,2.35,0
552,127,0,341,774,124976634,440084,2121,755,120000000,2012,358,8,1.85,122000
276,123,160,402,12000,115802596,182661,14017,681,110000000,2007,701,5.2,2.35,0
267,123,521,265,13000,108521835,40123,13752,297,120000000,2016,365,7.1,2.35,31000
102,107,368,1000,2000,100685880,100821,4046,554,120000000,2003,1000,4.8,2.35,0
775,124,0,641,13000,126464904,456260,24098,2326,130000000,2012,9000,7,2.35,97000
71,77,50,537,886,64736114,36471,2682,69,120000000,2002,799,5.4,1.85,459
476,109,662,1000,13000,93050117,338087,17689,814,115000000,2013,2000,6.6,2.35,61000
207,134,123,567,14000,57637485,183909,17159,666,105000000,2004,850,6.7,2.35,0
492,117,294,1000,10000,58607007,182899,14161,630,100000000,2014,2000,6.2,2.35,60000
284,135,0,87,690,43929341,57873,902,414,120000000,2008,107,6.1,2.35,0
168,121,274,157,273,30212620,35066,993,196,120000000,2010,216,5.3,1.85,0
283,117,446,877,10000,76418654,148280,12731,348,117000000,2010,973,6.3,2.35,11000
539,124,364,1000,11000,89021735,387436,22004,892,120000000,2013,10000,7,2.35,71000
359,140,0,4000,20000,380262555,520104,44042,3286,113000000,2005,16000,7.6,2.35,10000
284,142,0,4000,20000,310675583,464310,42990,3516,115000000,2002,16000,6.7,1.78,0
250,92,0,773,12000,289907418,585659,15013,593,115000000,2001,1000,8.1,1.85,0
440,138,446,929,20000,132550960,328067,23755,533,120000000,2013,992,6.7,2.35,68000
320,136,0,1000,20000,474544677,534658,37723,3597,115000000,1999,14000,6.5,2.35,13000
257,98,16,12000,16000,187165546,150618,43286,195,135000000,2013,15000,7.3,2.35,28000
33,116,0,141,936,,20567,1609,36,78000000,2008,276,5.1,2.35,291
152,153,610,617,12000,40911830,55994,15046,454,115000000,2002,836,6,2.35,0
231,120,19,9000,26000,47952020,37750,46719,134,115000000,2016,11000,6.1,2.35,16000
348,101,473,429,833,190871240,167085,2690,491,125000000,2014,809,5.9,2.35,62000
738,91,0,13,39,274084951,582917,87,1885,100000000,2013,23,7.8,2.35,147000
93,108,79,268,650,67155742,62271,1569,277,116000000,1997,293,5.8,2.35,0
181,112,13,799,5000,81638674,17533,8306,115,135000000,2016,833,6.3,2.35,12000
369,100,128,78,596,56114221,110486,1261,695,120000000,2015,360,4.3,2.35,41000
179,108,189,1000,49000,250863268,234480,55486,444,110000000,2006,3000,6.4,1.85,3000
358,114,62,884,12000,155181732,147497,16718,499,110000000,2015,2000,6.1,2.35,52000
160,119,55,387,811,125332007,149680,2958,328,110000000,1997,766,6.5,2.35,0
192,142,776,1000,13000,113330342,207613,19454,1144,110000000,2000,2000,7.1,2.35,4000
198,125,0,350,11000,125531634,284852,19359,627,110000000,2004,8000,6.4,2.35,0
233,126,218,322,11000,186336103,348861,22722,798,120000000,2005,11000,6.5,2.35,0
263,119,124,1000,14000,129995817,154621,22622,258,110000000,2015,5000,6.3,2.35,27000
267,170,17000,827,29000,102608827,264318,34582,799,110000000,2004,3000,7.5,2.35,0
184,85,11,116,480,42776259,53160,1173,121,112000000,2010,392,4.9,2.35,0
447,119,1000,741,11000,98780042,136019,13391,443,120000000,2011,1000,5.8,2.35,14000
29,60,,432,669,,25402,1655,97,,,554,7.6,4,0
366,102,263,1000,6000,106369117,225273,10583,523,110000000,2014,1000,6.2,2.35,71000
172,103,67,111,383,142614158,66593,692,153,110000000,2011,113,5.5,1.78,31000
104,76,6,421,12000,50026353,13581,13607,88,110000000,2004,513,5.4,1.78,304
181,120,124,943,6000,66002193,44296,12452,144,110000000,2016,5000,5.8,2.35,12000
327,127,189,544,20000,85463309,254841,22254,426,110000000,2011,929,7.1,2.35,36000
125,105,67,40,681,71017784,27257,914,59,105000000,2013,71,5.4,1.85,0
79,121,101,202,673,48068396,60573,2027,248,160000000,1997,368,3.7,2.35,894
326,114,151,430,11000,61656849,184561,12908,554,110000000,2013,635,6.7,2.35,123000
354,129,235,297,13000,134520804,336235,13961,782,110000000,2007,300,7.2,2.35,0
297,171,0,857,16000,313837577,1238746,22342,5060,93000000,2001,5000,8.8,2.35,21000
188,120,153,447,1000,24004159,68720,3175,191,110000000,2004,1000,5.8,2.35,0
174,165,0,780,10000,58183966,79186,14196,386,107000000,2001,851,6.8,2.35,0
109,82,34,434,760,100446895,36033,2762,456,109000000,2003,743,3.8,1.85,946
225,115,295,466,10000,144795350,387632,12068,789,120000000,2004,981,7.1,2.35,0
239,194,0,195,14000,47396698,217373,19600,942,130000000,2005,5000,7.2,2.35,0
101,84,50,692,979,140015224,94172,3382,179,133000000,1999,886,5.9,1.85,0
228,97,63,525,852,104374107,89351,2480,214,105000000,2009,578,7.1,1.85,5000
568,151,0,372,13000,228430993,472488,14831,1023,108000000,2015,801,8.1,2.35,153000
,22,0,,5,,6,5,,,,,7.2,,0
257,136,0,3000,19000,35799026,263329,34839,899,126000000,2005,12000,6.9,2.35,0
62,104,23,591,752,6712451,4102,3133,89,90000000,2001,631,4.4,1.85,53
175,127,57,3000,12000,101643008,218341,29069,498,90000000,2000,11000,6.5,2.35,0
265,171,0,695,3000,187670866,982637,6521,2368,103000000,2000,933,8.5,2.35,21000
252,145,14000,533,10000,132014112,399651,12546,1331,102000000,2002,798,7.7,2.35,0
232,174,0,9000,11000,261970615,387616,35672,858,100000000,2002,10000,7.4,2.35,0
400,144,258,834,6000,167007184,470483,9125,2301,150000000,2006,1000,8,2.35,0
230,119,13000,567,1000,180011740,177725,2776,1368,100000000,2001,658,5.7,2.35,0
210,153,0,539,780,204843350,744891,2829,983,102000000,1991,604,8.5,2.35,13000
357,140,0,1000,40000,97030725,230931,64599,585,100000000,2009,23000,7,2.35,0
300,176,0,561,18000,130127620,324671,20354,458,100000000,2007,782,7.8,1.85,0
94,141,0,618,2000,146282411,190439,4528,351,115000000,1994,1000,7.2,2.35,0
267,106,12000,385,18000,65452312,149998,19906,285,100000000,2009,464,6.4,2.35,0
180,98,80,708,22000,148383780,85531,24082,152,100000000,2010,713,5.5,1.85,0
265,116,285,107,12000,119219978,189806,20233,316,100000000,2010,8000,6.7,2.35,16000
81,115,55,383,1000,101228120,84424,3454,131,100000000,1996,773,6.1,2.35,0
765,165,16000,265,29000,162804648,955174,40978,1193,100000000,2012,11000,8.5,2.35,199000
80,91,21,542,2000,100117603,102933,4842,230,100000000,1996,700,6.9,1.78,0
141,78,10,253,558,89296573,128285,2039,297,100000000,2000,452,7.3,1.66,0
383,103,165,13000,26000,85017401,246803,57881,474,92000000,2012,13000,6.7,2.35,108000
193,131,226,341,12000,173005002,255447,13679,692,100000000,2004,625,6.9,2.35,0
170,104,14,203,3000,75030163,108076,4487,1690,100000000,2006,762,5.1,2.35,0
333,101,0,279,925,77222184,87677,1738,388,100000000,2009,468,6.8,2.35,11000
256,111,456,394,20000,34964818,39956,21393,186,150000000,2015,548,5.8,2.35,24000
203,102,77,120,14000,107515297,85833,14552,113,100000000,2013,151,6.7,2.35,17000
321,103,207,3000,40000,67631157,176598,55175,374,100000000,2010,11000,6,2.35,25000
174,121,0,595,1000,66862068,89509,3903,524,83000000,1999,1000,5.7,2.35,2000
166,143,380,452,29000,57366262,400292,33160,657,100000000,2006,3000,8,2.35,14000
606,240,17000,4000,29000,116866727,780588,46057,1138,100000000,2013,11000,8.2,2.35,138000
144,121,541,680,920,184031112,190786,2880,539,100000000,1995,710,5.4,1.85,0
192,129,719,423,660,54700065,221521,2031,1049,105000000,1997,475,7.2,1.85,0
511,172,670,1000,15000,27098580,284825,22686,828,102000000,2012,5000,7.5,2.35,124000
188,101,0,577,2000,55673333,65785,4286,160,80000000,2010,653,7,2.35,16000
212,87,26,566,827,40198710,87451,3144,660,100000000,2004,825,3.3,2.35,0
245,101,420,467,12000,72660029,115687,16235,269,100000000,2014,3000,6,2.35,21000
127,95,63,720,23000,38120554,71527,26940,217,140000000,2002,770,7.1,1.5,0
167,102,52,526,8000,49392095,52029,10552,224,100000000,2009,735,5.4,1.85,0
320,131,385,11000,26000,39292022,127258,52610,351,90000000,2014,13000,6.1,2.35,56000
163,114,19,848,1000,28772222,33953,3962,163,105000000,2015,897,5.3,2.35,37000
78,94,6,227,490,17010646,40751,1195,239,84000000,2005,294,2.2,1.85,881
