"","director","movies","years","gross","rating"
"385","Brian Helgeland","The Bourne SupremacyåÊ",2004,176049130,7.8
"387","Brian Henson","Ocean's ElevenåÊ",2001,183405771,7.8
"389","Brian Koppelman","Hotel TransylvaniaåÊ",2012,148313048,7.1
"390","Brian Levant","EnchantedåÊ",2007,127706877,7.1
"395","Brian Levant","Enemy of the StateåÊ",1998,111544445,7.3
"400","Brian Robbins","Enemy at the GatesåÊ",2001,51396781,7.6
"403","Brian Trenchard-Smith","Memoirs of a GeishaåÊ",2005,57010853,7.3
"405","Britt Allcroft","Arthur ChristmasåÊ",2011,46440491,7.1
"406","Bronwen Hughes","Meet Joe BlackåÊ",1998,44606335,7.1
"409","Bruce Campbell","Scott Pilgrim vs. the WorldåÊ",2010,31494270,7.5
"413","Bruce McCulloch","DreddåÊ",2012,13401683,7.1
"418","Bryan Singer","ZodiacåÊ",2007,33048353,7.7
"422","Bryan Singer","Mission: ImpossibleåÊ",1996,180965237,7.1
"423","Bryan Singer","The Hunger GamesåÊ",2012,407999255,7.3
"427","Burr Steers","Lilo & StitchåÊ",2002,145771527,7.2
"435","Callie Khouri","Shutter IslandåÊ",2010,127968405,8.1
"438","Cameron Crowe","Face/OffåÊ",1997,112225777,7.3
"440","Cameron Crowe","Road to PerditionåÊ",2002,104054514,7.7
"444","Carl Franklin","Cold MountainåÊ",2003,95632614,7.2
"452","Carlos Saldanha","FuryåÊ",2014,85707116,7.6
"460","Catherine Hardwicke","Fantasia 2000åÊ",1999,60507228,7.3
"470","Chan-wook Park","Thirteen DaysåÊ",2000,34566746,7.3
"482","Charles Stone III","OceansåÊ",2009,19406406,7.8
"485","Chatrichalerm Yukol","A Beautiful MindåÊ",2001,170708996,8.2
"486","Chia-Liang Liu","The Lion KingåÊ",1994,422783777,8.5
"489","Chris Carter","Red DragonåÊ",2002,92930005,7.2
"493","Chris Columbus","The Little PrinceåÊ",2015,1339152,7.8
"498","Chris Columbus","Despicable Me 2åÊ",2013,368049635,7.5
"502","Chris Gorak","Children of MenåÊ",2006,35286428,7.9
"503","Chris Kentis","X-MenåÊ",2000,157299717,7.4
"505","Chris Koch","The RockåÊ",1996,134006721,7.4
"511","Chris Noonan","Now You See MeåÊ",2013,117698894,7.3
"513","Chris Roberts","The TerminalåÊ",2004,77032279,7.3
"516","Chris Stokes","Charlie Wilson's WaråÊ",2007,66636385,7.1
"520","Chris Weitz","MunichåÊ",2005,47379090,7.6
"523","Chris Weitz","The Man from U.N.C.L.E.åÊ",2015,45434443,7.3
"536","Christopher Cain","UnbreakableåÊ",2000,94999143,7.2
"544","Christopher McQuarrie","The KingdomåÊ",2007,47456450,7.1
"547","Christopher McQuarrie","BraveheartåÊ",1995,75600000,8.4
"548","Christopher Nolan","JarheadåÊ",2005,62647540,7.1
"549","Christopher Nolan","The Simpsons MovieåÊ",2007,183132370,7.4
"552","Christopher Nolan","Two BrothersåÊ",2004,18947630,7.1
"556","Christopher Smith","Shrek 2åÊ",2004,436471036,7.2
"557","Christopher Spencer","CarsåÊ",2006,244052771,7.2
"562","Chuck Russell","Inglourious BasterdsåÊ",2009,120523073,8.3
"565","CÌ©dric Klapisch","Die Hard 2åÊ",1990,117541000,7.1
"571","Clark Johnson","We Were SoldiersåÊ",2002,78120196,7.1
"575","Clay Kaytis","Big FishåÊ",2003,66257002,8
"577","Clint Eastwood","War HorseåÊ",2011,79883359,7.2
"579","Clint Eastwood","The AbyssåÊ",1989,54222000,7.6
"583","Clint Eastwood","StarduståÊ",2007,38345403,7.7
"605","Costa-Gavras","Despicable MeåÊ",2010,251501645,7.7
"608","Courtney Solomon","AgoraåÊ",2009,617840,7.2
"611","Craig Brewer","The InsideråÊ",1999,28965197,7.9
"612","Craig Gillespie","Body of LiesåÊ",2008,39380442,7.1
"617","Craig R. Baxley","Saving Private RyanåÊ",1998,216119491,8.6
"620","Cristian Mungiu","Ice AgeåÊ",2002,176387405,7.6
"622","Curtis Hanson","LincolnåÊ",2012,182204440,7.4
"623","Curtis Hanson","The MatrixåÊ",1999,171383253,8.7
"624","Curtis Hanson","Apollo 13åÊ",1995,172071312,7.6
"625","Curtis Hanson","Total RecallåÊ",1990,119412921,7.5
"627","D.J. Caruso","Les MisÌ©rablesåÊ",2012,148775460,7.6
"632","Dagur KÌÁri","UnbrokenåÊ",2014,115603980,7.2
"640","Dan Gilroy","Eyes Wide ShutåÊ",1999,55637680,7.3
"651","Daniel Lee","Fight ClubåÊ",1999,37023395,8.8
"652","Daniel Myrick","We Are MarshallåÊ",2006,43532294,7.1
"660","Danny Boyle","EvereståÊ",2015,43247140,7.1
"661","Danny Boyle","Perfume: The Story of a MurdereråÊ",2006,2208939,7.5
"664","Danny Cannon","Jurassic ParkåÊ",1993,356784000,8.1
"673","Dario Argento","The Hateful EightåÊ",2015,54116191,7.9
"676","Darren Aronofsky","300åÊ",2006,210592590,7.7
"678","Darren Aronofsky","Marley & MeåÊ",2008,143151473,7.1
"679","Darren Aronofsky","The Green MileåÊ",1999,136801374,8.5
"681","Darren Grant","Gone GirlåÊ",2014,167735396,8.1
"682","Darren Lynn Bousman","The Bourne IdentityåÊ",2002,121468960,7.9
"683","Darren Lynn Bousman","GoldenEyeåÊ",1995,106635996,7.2
"685","Darren Lynn Bousman","The Truman ShowåÊ",1998,125603360,8.1
"699","David Ayer","REDåÊ",2010,90356857,7.1
"702","David Bowers","CollateralåÊ",2004,100003492,7.6
"707","David Cronenberg","This Is ItåÊ",2009,71844424,7.3
"710","David Cronenberg","CoralineåÊ",2009,75280058,7.7
"712","David Dobkin","Man on FireåÊ",2004,77862546,7.7
"729","David Frankel","ShooteråÊ",2007,46975183,7.2
"732","David Gelb","The Lego MovieåÊ",2014,257756197,7.8
"737","David Gordon Green","InvictusåÊ",2009,37479778,7.4
"751","David Lynch","Almost FamousåÊ",2000,32522352,7.9
"756","David McNally","The AvengersåÊ",2012,623279547,8.1
"773","David R. Ellis","DeadpoolåÊ",2016,363024263,8.1
"775","David R. Ellis","American SniperåÊ",2014,350123553,7.3
"785","David Sington","The Devil's AdvocateåÊ",1997,60984028,7.5
"793","David Twohy","Forrest GumpåÊ",1994,329691196,8.8
"797","David Yates","SupermanåÊ",1978,134218018,7.3
"802","David Zucker","Captain PhillipsåÊ",2013,107100855,7.9
"805","David Zucker","The EqualizeråÊ",2014,101530738,7.2
"807","Davis Guggenheim","Crimson TideåÊ",1995,91400000,7.3
"808","Dean DeBlois","The Pursuit of HappynessåÊ",2006,162586036,8
"812","Dean Parisot","Kill Bill: Vol. 1åÊ",2003,70098138,8.1
"814","Dean Parisot","Kill Bill: Vol. 2åÊ",2004,66207920,8
"824","Dennie Gordon","RoninåÊ",1998,41609593,7.3
"826","Dennis Dugan","PaddingtonåÊ",2014,76137505,7.2
"833","Dennis Dugan","ChangelingåÊ",2008,35707327,7.8
"836","Dennis Iliadis","The Phantom of the OperaåÊ",2004,51225796,7.4
"845","Dewey Nicks","A Very Long EngagementåÊ",2004,6167817,7.7
"847","Dexter Fletcher","Seven PoundsåÊ",2008,69951824,7.7
"849","Diane Keaton","The Godfather: Part IIIåÊ",1990,66676062,7.6
"856","Dominic Sena","AnastasiaåÊ",1997,58297830,7.1
"857","Dominic Sena","Moulin Rouge!åÊ",2001,57386369,7.6
"860","Don Bluth","Flags of Our FathersåÊ",2006,33574332,7.1
"861","Don Bluth","Law Abiding CitizenåÊ",2009,73343413,7.4
"862","Don Coscarelli","GrindhouseåÊ",2007,25031037,7.6
"865","Don Michael Paul","Catch Me If You CanåÊ",2002,164435221,8
"866","Don Michael Paul","Zero Dark ThirtyåÊ",2012,95720716,7.4
"871","Donald Petrie","The Thin Red LineåÊ",1998,36385763,7.6
"873","Donald Petrie","Man on the MoonåÊ",1999,34580635,7.4
"874","Donald Petrie","CasinoåÊ",1995,42438300,8.2
"880","Doug Liman","ShrekåÊ",2001,267652016,7.9
"881","Doug Liman","The Adjustment BureauåÊ",2011,62453315,7.1
"883","Doug Liman","Jerry MaguireåÊ",1996,153620822,7.3
"885","Douglas Aarniokoski","As Good as It GetsåÊ",1997,147637474,7.7
"889","Drake Doremus","Super 8åÊ",2011,126975169,7.1
"890","Drew Barrymore","Erin BrockovichåÊ",2000,125548685,7.3
"892","Duke Johnson","22 Jump StreetåÊ",2014,191616238,7.1
"893","Duncan Jones","Interview with the Vampire: The Vampire ChroniclesåÊ",1994,105264608,7.6
"899","Dwight H. Little","Inside ManåÊ",2006,88504640,7.6
"900","E. Elias Merhige","PaybackåÊ",1999,81517441,7.1
"904","Ed Gass-Donnelly","Crazy, Stupid, Love.åÊ",2011,84244877,7.4
"907","Edgar Wright","MoneyballåÊ",2011,75605492,7.6
"911","Edward Burns","V for VendettaåÊ",2005,70496802,8.2
"920","Edward Zwick","13 HoursåÊ",2016,52822418,7.4
"921","Edward Zwick","The Book of LifeåÊ",2014,50150619,7.3
"925","Eli Roth","The GameåÊ",1997,48265581,7.8
"929","Elizabeth Allen Rosenbaum","The NegotiatoråÊ",1998,44484065,7.3
"933","Ellory Elkayem","The JudgeåÊ",2014,47105085,7.4
"956","Ethan Coen","The Iron GiantåÊ",1999,23159305,8
"957","Ethan Coen","The Life Aquatic with Steve ZissouåÊ",2004,24006726,7.3
"959","Ethan Coen","The Life of David GaleåÊ",2003,19593740,7.5
"962","Eugenio Derbez","Eastern PromisesåÊ",2007,17114882,7.7
"983","Fina Torres","TrafficåÊ",2000,124107476,7.6
"984","Finn Taylor","Indiana Jones and the Last CrusadeåÊ",1989,197171806,8.3
"988","Florian Henckel von Donnersmarck","Three KingsåÊ",1999,60652036,7.1
"991","Francis Ford Coppola","K-PAXåÊ",2001,50173190,7.4
"995","Francis Ford Coppola","3:10 to YumaåÊ",2007,53574088,7.8
"1006","Franco Zeffirelli","InsomniaåÊ",2002,67263182,7.2
"1007","FranÌ¤ois Girard","Star Trek: First ContactåÊ",1996,92001027,7.6
"1011","Frank Coraci","The InfiltratoråÊ",2016,14946229,7.3
"1020","Frank Darabont","The Bucket ListåÊ",2007,93452056,7.4
"1023","Frank Marshall","PrisonersåÊ",2013,60962878,8.1
"1024","Frank Marshall","Training DayåÊ",2001,76261036,7.7
"1025","Frank Marshall","Galaxy QueståÊ",1999,71423726,7.3
"1027","Frank Miller","The MuppetsåÊ",2011,88625922,7.1
"1028","Frank Miller","BladeåÊ",1998,70001065,7.1
"1029","Frank Nissen","Coach CarteråÊ",2005,67253092,7.2
"1033","Frank Oz","Love ActuallyåÊ",2003,59365105,7.7
"1034","Frank Oz","A Bug's LifeåÊ",1998,162792677,7.2
"1051","Gabriele Muccino","Across the UniverseåÊ",2007,24343673,7.4
"1052","Gabriele Muccino","Revolutionary RoadåÊ",2008,22877808,7.3
"1060","Garry Marshall","DreddåÊ",2012,13401683,7.1
"1063","Garry Marshall","NixonåÊ",1995,13560960,7.1
"1064","Garth Jennings","The Ghost WriteråÊ",2010,15523168,7.2
"1073","Gary Halvorson","ArgoåÊ",2012,136019448,7.7
"1074","Gary Hardwick","The FugitiveåÊ",1993,183875760,7.8
"1076","Gary Rogers","SleepersåÊ",1996,53300852,7.5
"1079","Gary Ross","PinocchioåÊ",1940,84300000,7.5
"1083","Gary Trousdale","Finding ForresteråÊ",2000,51768623,7.3
"1090","Gavin Hood","21 Jump StreetåÊ",2012,138447667,7.2
"1106","George A. Romero","Lord of WaråÊ",2005,24127895,7.6
"1107","George Armitage","HeroåÊ",2002,84961,7.9
"1111","George Clooney","MicmacsåÊ",2009,1260917,7.2
"1115","George Gallo","The Sixth SenseåÊ",1999,293501675,8.1
"1118","George Jackson","The Karate KidåÊ",1984,90800000,7.2
"1119","George Lucas","American HustleåÊ",2013,150117807,7.3
"1122","George Lucas","Back to the Future Part IIåÊ",1989,118500000,7.8
"1126","George Miller","A Time to KillåÊ",1996,108706165,7.4
"1128","George Miller","Lone SurvivoråÊ",2013,125069696,7.6
"1129","George Miller","A League of Their OwnåÊ",1992,107458785,7.2
"1130","George Nolfi","The Conjuring 2åÊ",2016,102310175,7.8
"1131","George P. Cosmatos","The Social NetworkåÊ",2010,96917897,7.7
"1135","George Roy Hill","Back to the Future Part IIIåÊ",1990,87666629,7.4
"1137","George Sidney","Bram Stoker's DraculaåÊ",1992,82522790,7.5
"1139","George Tillman Jr.","42åÊ",2013,95001343,7.5
"1140","George Tillman Jr.","The Talented Mr. RipleyåÊ",1999,81292135,7.3
"1142","George Tillman Jr.","Eight BelowåÊ",2006,81593527,7.3
"1143","GÌ©rard Krawczyk","The InternåÊ",2015,75274748,7.2
"1145","Gil Junger","The Last of the MohicansåÊ",1992,72455275,7.8
"1146","Gil Kenan","RayåÊ",2004,75305995,7.7
"1147","Gil Kenan","Sin CityåÊ",2005,74098862,8.1
"1149","Gillian Armstrong","I Love You, ManåÊ",2009,71347010,7.1
"1151","Gina Prince-Bythewood","JFKåÊ",1991,70405498,8
"1154","Glen Morgan","UnbrokenåÊ",2014,115603980,7.2
"1158","Glenn Ficarra","Bridge of SpiesåÊ",2015,72306065,7.6
"1163","Gore Verbinski","The Count of Monte CristoåÊ",2002,54228104,7.7
"1164","Gore Verbinski","The Lincoln LawyeråÊ",2011,57981889,7.3
"1166","Gore Verbinski","The PrestigeåÊ",2006,53082743,8.5
"1169","Graham Annable","ApocalyptoåÊ",2006,50859889,7.8
"1179","Gregory Hoblit","The RainmakeråÊ",1997,45856732,7.1
"1181","Gregory Jacobs","AmistadåÊ",1997,44175394,7.2
"1190","Guillermo del Toro","The DoorsåÊ",1991,35183792,7.2
"1195","Gus Van Sant","Pay It ForwardåÊ",2000,33508922,7.2
"1212","Guy Ritchie","Mean StreetsåÊ",1973,32645,7.4
"1224","Harold Becker","The ImpossibleåÊ",2012,18996755,7.6
"1226","Harold Becker","Fantastic Mr. FoxåÊ",2009,20999103,7.8
"1229","Harold Cronk","AmÌ©lieåÊ",2001,33201661,8.4
"1244","Hayao Miyazaki","SunshineåÊ",2007,3675072,7.3
"1252","Henry Koster","The Hudsucker ProxyåÊ",1994,2869369,7.3
"1253","Henry Selick","The WarlordsåÊ",2007,128978,7.1
"1256","Herbert Ross","The CrowåÊ",1994,50693162,7.6
"1257","Hilary Brougher","Baahubali: The BeginningåÊ",2015,6498000,8.4
"1258","Hironobu Sakaguchi","The Time Traveler's WifeåÊ",2009,63411478,7.1
"1261","Howard Deutch","SerenityåÊ",2005,25335935,8
"1265","Hoyt Yeatman","Red CliffåÊ",2008,626809,7.4
"1273","Hugh Wilson","The HurricaneåÊ",1999,50668906,7.6
"1282","Iain Softley","PreciousåÊ",2009,47536959,7.3
"1284","Ìämile Gaudreault","The ThingåÊ",1982,13782838,8.2
"1289","Irvin Kershner","The MasteråÊ",2012,16377274,7.1
"1290","Irwin Winkler","The ExpressåÊ",2008,9589875,7.3
"1292","Irwin Winkler","CreedåÊ",2015,109712885,7.7
"1293","Irwin Winkler","The TownåÊ",2010,92173235,7.6
"1297","Ivan Reitman","RushåÊ",2013,26903709,8.1
"1298","Ivan Reitman","MagnoliaåÊ",1999,22450975,8
"1316","Jack Sholder","GattacaåÊ",1997,12339633,7.8
"1320","Jake Kasdan","The HangoveråÊ",2009,277313371,7.8
"1321","Jake Kasdan","Ip Man 3åÊ",2015,2126511,7.2
"1323","Jake Kasdan","BatmanåÊ",1989,251188924,7.6
"1326","Jake Schreier","The Blind SideåÊ",2009,255950375,7.7
"1329","James Bobin","True GritåÊ",2010,171031347,7.7
"1333","James Cameron","Cape FearåÊ",1991,79100000,7.3
"1337","James Cameron","The English PatientåÊ",1996,78651430,7.4
"1338","James Cameron","L.A. ConfidentialåÊ",1997,64604977,8.3
"1342","James DeMonaco","A Nightmare on Elm StreetåÊ",1984,26505000,7.5
"1345","James Fargo","SecretariatåÊ",2010,59699513,7.2
"1350","James Gray","Saving Mr. BanksåÊ",2013,83299761,7.5
"1351","James Gray","Malcolm XåÊ",1992,48169908,7.7
"1358","James Ivory","Donnie BrascoåÊ",1997,41954997,7.8
"1360","James Ivory","PoltergeiståÊ",1982,76600000,7.4
"1368","James Mangold","The PianiståÊ",2002,32519322,8.5
"1372","James Mangold","CloseråÊ",2004,33987757,7.3
"1386","James Wan","ConcussionåÊ",2015,34531832,7.1
"1389","James Wan","Wonder BoysåÊ",2000,19389454,7.4
"1404","Jan de Bont","The Young VictoriaåÊ",2009,10991381,7.3
"1412","Jason Bateman","The WalkåÊ",2015,10137502,7.4
"1416","Jason Friedberg","Blood In, Blood OutåÊ",1993,4496583,8
"1422","Jason Reitman","The Age of InnocenceåÊ",1993,32000000,7.2
"1423","Jason Reitman","The FountainåÊ",2006,10139254,7.3
"1426","Jaume BalaguerÌ_","PonyoåÊ",2008,15081783,7.7
"1427","Jaume BalaguerÌ_","The Longest RideåÊ",2015,37432299,7.1
"1431","Jaume Collet-Serra","Mandela: Long Walk to FreedomåÊ",2013,8324748,7.1
"1432","Jaume Collet-Serra","A Few Good MenåÊ",1992,141340178,7.6
"1444","Jay Roach","Star Wars: Episode VI - Return of the JediåÊ",1983,309125409,8.4
"1446","Jay Roach","The ReaderåÊ",2008,34180954,7.6
"1455","Jean-Jacques Annaud","Men of HonoråÊ",2000,48814909,7.2
"1459","Jean-Marc VallÌ©e","Source CodeåÊ",2011,54696902,7.5
"1460","Jean-Marie PoirÌ©","AliveåÊ",1993,36733909,7.1
"1462","Jean-Marie PoirÌ©","The Young and Prodigious T.S. SpivetåÊ",2013,99462,7.1
"1464","Jean-Pierre Jeunet","A History of ViolenceåÊ",2005,31493782,7.5
"1476","Jeff Kanew","Apocalypse NowåÊ",1979,78800000,8.5
"1478","Jeff Nichols","Mr. Holland's OpusåÊ",1995,82528097,7.3
"1480","Jeff Nichols","Out of AfricaåÊ",1985,87100000,7.2
"1481","Jeff Schaffer","FlightåÊ",2012,93749203,7.3
