"","Actor","Score","Title","Keyword1","Keyword2","Keyword3","Keyword4","Keyword5","Year","Gross"
"53","Leonardo DiCaprio",8.5,"The Departed","boston","mole","police","undercover","undercover cop",2006,132373442
"54","Robert Downey Jr.",7,"Tropic Thunder","film director","parody","spoof","vietnam","written and directed by cast member",2008,110416702
"55","Bruce Willis",7.6,"Die Hard with a Vengeance","bomb","detective","new york city","police","terrorist",1995,100012500
"56","Robert Downey Jr.",7.6,"Sherlock Holmes","black magic","bridge construction","professor moriarty","scotland yard inspector","sherlock holmes",2009,209019489
"57","Tom Cruise",7.1,"Valkyrie","american actor playing foreigner","assassination","conspiracy","military","nazis",2008,83077470
"58","Matthew McConaughey",7.4,"Contact","message from outer space","religion","religion versus science","scientist","universe",1997,100853835
"59","Tom Hanks",7.7,"Cast Away","christmas","island","love","survival","talking to inanimate object",2000,233630478
"60","Matt Damon",7.8,"The Bourne Supremacy","assassin","car chase","cia","hidden truth","one against many",2004,176049130
"61","Steve Buscemi",7.1,"Hotel Transylvania","dracula","hotel","invisible man","monster","transylvania",2012,148313048
"62","Anthony Hopkins",7.1,"Meet Joe Black","birthday","death","death personified","fear of death","wealth",1998,44606335
"63","Robert Downey Jr.",7.7,"Zodiac","cartoonist","reporter","serial killer","zodiac","zodiac killer",2007,33048353
"64","Tom Cruise",7.1,"Mission: Impossible","disguise","mission","spy","stealing","traitor",1996,180965237
"65","Leonardo DiCaprio",8.1,"Shutter Island","female prisoner","plot twist","self delusion","surprise ending","year 1954",2010,127968405
"66","Nicolas Cage",7.3,"Face/Off","death of child","face","face transplant","prison","terrorist",1997,112225777
"67","Tom Hanks",7.7,"Road to Perdition","1930s","blood","gun","on the run","revenge",2002,104054514
"68","Philip Seymour Hoffman",7.2,"Cold Mountain","civil war","mountain","soldier","well","wounded soldier",2003,95632614
"69","Matt Damon",7,"Spirit: Stallion of the Cimarron","cavalry","escape","herd","stallion","wild stallion",2002,73215310
"70","Robin Williams",7,"What Dreams May Come","heaven","hell","soul","soul mate","suicide",1998,55350897
"71","Philip Seymour Hoffman",7.2,"Red Dragon","criminal profile","fbi agent","madman","tabloid reporter","tragic villain",2002,92930005
"72","Hugh Jackman",7.4,"X-Men","first part","mutant","professor","superhero","superhero team",2000,157299717
"73","Nicolas Cage",7.4,"The Rock","alcatraz","fbi","general","hostage","rocket",1996,134006721
"74","Morgan Freeman",7.3,"Now You See Me","bank","fbi","heist","interpol","magician",2013,117698894
"75","Tom Hanks",7.3,"The Terminal","airport","construction site","fish out of water","flight attendant","man without a country",2004,77032279
"76","Philip Seymour Hoffman",7.1,"Charlie Wilson's War","afghanistan","arms dealer","based on true story","cia","texas",2007,66636385
"77","Bruce Willis",7.1,"Die Hard 2","airport","fuel","plane","police","terrorist",1990,117541000
"78","Steve Buscemi",8,"Big Fish","dog saved from a fire","flashback","growing up","multiple narrators","traveling salesman",2003,66257002
"79","Leonardo DiCaprio",7.1,"Body of Lies","cia","jordan","middle east","spy","terrorist",2008,39380442
"80","Tom Hanks",8.6,"Saving Private Ryan","army","invasion","killed in action","normandy","soldier",1998,216119491
"81","Keanu Reeves",8.7,"The Matrix","artificial reality","computer","matrix","questioning reality","simulated reality",1999,171383253
"82","Tom Hanks",7.6,"Apollo 13","cape kennedy","news footage","reference to christopher columbus","rocket","trapped in space",1995,172071312
"83","Hugh Jackman",7.6,"Les Misí©rables","barricade","innkeeper","parole","rebellion","student",2012,148775460
"84","Tom Cruise",7.3,"Eyes Wide Shut","doctor","orgy","party","pianist","sexual fantasy",1999,55637680
"85","Matthew McConaughey",7.1,"We Are Marshall","coach","football","football team","marshall university","university",2006,43532294
"86","Gerard Butler",7.7,"300","battle","epic","greece","spartan","warrior",2006,210592590
"87","Tom Hanks",8.5,"The Green Mile","1930s","death row inmate","healing","prison guard","southern u.s.",1999,136801374
"88","Matt Damon",7.9,"The Bourne Identity","amnesia","assassin","money","political thriller","three word title",2002,121468960
"89","Jason Statham",7,"The Italian Job","gold","heist","revenge","traffic jam","venice italy",2003,106126012
"90","Bruce Willis",7.1,"RED","cia","female assassin","interrogation","office cubicle","spy",2010,90356857
"91","Tom Cruise",7.6,"Collateral","city by night","contract killer","driving at night","los angeles california","taxi",2004,100003492
"92","Tom Cruise",7,"Jack Reacher","coma","mysterious villain","police chase","shooting range","sniper",2012,80033643
"93","Denzel Washington",7.7,"Man on Fire","bodyguard","journalist","kidnapping","mexico","police corruption",2004,77862546
"94","Morgan Freeman",7.8,"The Lego Movie","based on toy","dual personality","evil businessman","good cop bad cop","lego",2014,257756197
"95","Matt Damon",7.4,"Invictus","apartheid","nation","nelson mandela","president","rugby",2009,37479778
"96","Philip Seymour Hoffman",7.9,"Almost Famous","band","magazine","rolling stone magazine","smoking marijuana","tour",2000,32522352
"97","Keanu Reeves",7.5,"The Devil's Advocate","deal with the devil","lawyer","money","reality","supernatural power",1997,60984028
"98","Tom Hanks",8.8,"Forrest Gump","amputee","love","vietnam","vietnam war","war hero",1994,329691196
"99","Robert De Niro",7,"Meet the Parents","cat","cia","jewish","male nurse","nurse",2000,166225040
"100","Tom Hanks",7.9,"Captain Phillips","hijacking","hostage","leader","ship","somalia",2013,107100855
"101","Denzel Washington",7.2,"The Equalizer","assassin","ex soldier","gangster","hanged man","mysterious past",2014,101530738
"102","Denzel Washington",7.3,"Crimson Tide","alabama","mutiny","order","radio","submarine",1995,91400000
"103","Robert De Niro",7.3,"Ronin","case","ex kgb","ronin","russian","suitcase",1998,41609593
"104","Gerard Butler",7.4,"The Phantom of the Opera","based on stage musical based on novel","disfigurement","mask","opera","singer",2004,51225796
"105","Johnny Depp",7,"Black Mass","based on true story","boston massachusetts","fbi agent","gangster","true crime",2015,62563543
"106","Gerard Butler",7.4,"Law Abiding Citizen","attorney","deal","district attorney","investigation","justice",2009,73343413
"107","Leonardo DiCaprio",8,"Catch Me If You Can","attorney","cat and mouse","fbi","pan am","pilot",2002,164435221
"108","Robert De Niro",8.2,"Casino","car bomb","card cheat","cash","casino","gambling syndicate",1995,42438300
"109","Matt Damon",7.1,"The Adjustment Bureau","love at first sight","obscene finger gesture","rain","teleportation","three word title",2011,62453315
"110","Tom Cruise",7.3,"Jerry Maguire","agent","career","client","fiance","sports agent",1996,153620822
"111","Denzel Washington",7.6,"Inside Man","bank","detective","negotiation","police","robber",2006,88504640
"112","Scarlett Johansson",7.1,"We Bought a Zoo","blocked road","father son relationship","love at first sight","teenage boy","zookeeper",2011,75621915
"113","Philip Seymour Hoffman",7.6,"Moneyball","baseball","meeting","statistics","strategy","voice over",2011,75605492
"114","Liam Neeson",7,"Non-Stop","air marshal","death","passenger","terrorist","transatlantic flight",2014,91439400
"115","Matt Damon",7,"Syriana","cia","hezbollah","lebanon","oil","prince",2005,50815288
"116","Kevin Spacey",7.3,"The Negotiator","hostage","innocence","murder","negotiator","police",1998,44484065
"117","Robert Downey Jr.",7.4,"The Judge","courtroom","dysfunctional family","indiana","lawyer","trial",2014,47105085
"118","Bill Murray",7.3,"The Life Aquatic with Steve Zissou","expedition","oceanographer","sea","shark","team",2004,24006726
"119","Kevin Spacey",7.5,"The Life of David Gale","activist","death","death row","murder","texas",2003,19593740
"120","Philip Seymour Hoffman",7.4,"Pirate Radio","inspired by radio program","inspired by true events","pirate broadcasting","pirate radio","pirate radio station",2009,7994115
"121","Harrison Ford",8.3,"Indiana Jones and the Last Crusade","castle","diary","holy grail","map","nazi",1989,197171806
"122","Kevin Spacey",7.4,"K-PAX","extraterrestrial","hospital","patient","planet","science",2001,50173190
"123","Christian Bale",7.8,"3:10 to Yuma","outlaw","rancher","small western town","stagecoach","train",2007,53574088
"124","Morgan Freeman",7.4,"The Bucket List","billionaire","friend","hospital","list","mechanic",2007,93452056
"125","Hugh Jackman",8.1,"Prisoners","child abduction","detective","investigation","police","sex offender",2013,60962878
"126","Denzel Washington",7.7,"Training Day","lapd","narc","narcotics","title spoken by character","training",2001,76261036
"127","Kevin Spacey",7.2,"A Bug's Life","ant","circus","grasshopper","misunderstanding","overhearing",1998,162792677
"128","Leonardo DiCaprio",7.3,"Revolutionary Road","based on novel","children","connecticut","suburb","work",2008,22877808
"129","Anthony Hopkins",7.1,"Nixon","courtship","election","paranoia","president","quaker",1995,13560960
"130","Harrison Ford",7.8,"The Fugitive","hospital","on the run","one armed man","surgeon","u.s. marshal",1993,183875760
"131","Robert De Niro",7.5,"Sleepers","boy","guard","kicked in the crotch","prank","sexual abuse",1996,53300852
"132","Morgan Freeman",7,"Unleashed","collar","dog","fight","fighting","piano",2005,24520892
"133","Nicolas Cage",7.6,"Lord of War","1980s","arms dealer","immorality","ukrainian","warlord",2005,24127895
"134","Bruce Willis",8.1,"The Sixth Sense","able to see the dead","ghost","plot twist","psychic","surprise ending",1999,293501675
"135","Kevin Spacey",7.4,"A Time to Kill","african american","court","law","mississippi","trial",1996,108706165
"136","Tom Hanks",7.2,"A League of Their Own","baseball","friend","oregon","rivalry","softball",1992,107458785
"137","Keanu Reeves",7.5,"Bram Stoker's Dracula","dracula","horror movie remake","maze","monster sex","vampire",1992,82522790
"138","Harrison Ford",7.5,"42","baseball","baseball player","brooklyn dodgers","major league baseball","racism",2013,95001343
"139","Philip Seymour Hoffman",7.3,"The Talented Mr. Ripley","1950s","italy","mistaken identity","nudity","sociopath",1999,81292135
"140","Robert De Niro",7.2,"The Intern","reference to ben affleck","reference to brad pitt","reference to george clooney","reference to jack nicholson","website",2015,75274748
"141","J.K. Simmons",7.1,"I Love You, Man","bromance","friend","gay brother","homosexual subtext","wedding",2009,71347010
"142","Tom Hanks",7.6,"Bridge of Spies","cia","cold war","lawyer","negotiation","spy",2015,72306065
"143","Matthew McConaughey",7.3,"The Lincoln Lawyer","defense attorney","defense lawyer","lawyer","plot twist","prostitute",2011,57981889
"144","Christian Bale",8.5,"The Prestige","illusion","magician","obsession","rivalry","secret",2006,53082743
"145","Matt Damon",7.1,"The Rainmaker","courtroom","domestic violence","insurance company","lawyer","underdog",1997,45856732
"146","Anthony Hopkins",7.2,"Amistad","courtroom","mutiny","ship","slave ship","slave trade",1997,44175394
"147","Kevin Spacey",7.2,"Pay It Forward","alcoholism","boy","good deed","protective male","teacher",2000,33508922
"148","Robert De Niro",7.4,"Mean Streets","bar","catholic guilt","epilepsy","italian american","money",1973,32645
"149","Bill Murray",7.8,"Fantastic Mr. Fox","cider","farm","farmer","fox","tale",2009,20999103
"150","Denzel Washington",7.6,"The Hurricane","african american","book","boxer","boxing","murder",1999,50668906
"151","Sylvester Stallone",7.7,"Creed","boxing","boxing match","fight","montage","philadelphia",2015,109712885
"152","J.K. Simmons",7,"Burn After Reading","cia","divorce","embassy","gym","memoir",2008,60338891
"153","Denzel Washington",7,"John Q","health care","heart transplant","hospital","hostage","insurance",2002,71026631
"154","Matt Damon",7.7,"True Grit","arkansas","murder","sheriff","texas ranger","u.s. marshal",2010,171031347
"155","Robert De Niro",7.3,"Cape Fear","lawyer","neo noir","prison","rapist","southern gothic",1991,79100000
"156","Kevin Spacey",8.3,"L.A. Confidential","1950s","call girl","corruption","murder","police detective",1997,64604977
"157","Johnny Depp",7.5,"A Nightmare on Elm Street","freddy krueger","lucid dream","serial killer","slasher","sleep deprivation",1984,26505000
"158","Tom Hanks",7.5,"Saving Mr. Banks","author","disney","loss of father","reference to walt disney","suppression of emotion",2013,83299761
"159","Denzel Washington",7.7,"Malcolm X","african american","black history","civil rights","ku klux klan","nation of islam",1992,48169908
"160","Johnny Depp",7.8,"Donnie Brasco","fbi","mafia","money","racial slur","singer",1997,41954997
"161","Robert Downey Jr.",7.4,"Wonder Boys","based on novel","college girl","midlife crisis","pittsburgh pennsylvania","professor",2000,19389454
"162","Hugh Jackman",7.3,"The Fountain","eternity","love","mayan","tree","tree of life",2006,10139254
"163","Tom Cruise",7.6,"A Few Good Men","cuba","guantanamo","lance corporal","lawyer","murder",1992,141340178
"164","Harrison Ford",8.4,"Star Wars: Episode VI - Return of the Jedi","death star","emperor","empire","princess","rebel",1983,309125409
"165","Bill Murray",7,"Scrooged","christmas","compassion","executive","ghost","redemption",1988,60328558
"166","Robert De Niro",7.2,"Men of Honor","african american","amputee","navy","racial discrimination","racism",2000,48814909
"167","Harrison Ford",8.5,"Apocalypse Now","army","green beret","insanity","jungle","vietnam",1979,78800000
"168","Denzel Washington",7.3,"Flight","airline","flight","flight attendant","lawyer","pilot",2012,93749203
"169","Bill Murray",8.1,"The Grand Budapest Hotel","first person narration","hotel","lobby boy","mentor protege relationship","painting",2014,59073773
"170","Tom Hanks",8.3,"Toy Story","claw crane","cowboy","jealousy","rivalry","toy",1995,191796233
"171","Keanu Reeves",7.2,"Speed","bomb","bus","elevator","explosive","rescue",1994,121248145
"172","Morgan Freeman",8.6,"Se7en","detective","police partner","serial killer","serial murder","seven deadly sins",1995,100125340
"173","Scarlett Johansson",7,"The SpongeBob SquarePants Movie","based on tv series","crown","dream","king neptune","plankton",2004,85416609
"174","Anthony Hopkins",7.5,"Legends of the Fall","epic","heart","killing an animal","passion","usa",1994,66528842
"175","J.K. Simmons",7.4,"Up in the Air","airport","business trip","downsizing","on the road","travel",2009,83813460
"176","Johnny Depp",7.6,"Blow","1960s","1970s","california","cocaine","wealth",2001,52937130
"177","Gerard Butler",7.1,"P.S. I Love You","birthday","friendship","hairy chest","letter","widow",2007,53680848
"178","Johnny Depp",7.4,"Corpse Bride","arranged marriage","bride","corpse","groom","woods",2005,53337608
"179","Harrison Ford",7.2,"The Age of Adaline","hit by a pickup truck","immortality","paramedic","resuscitation","san francisco california",2015,42478175
"180","Will Ferrell",7.6,"Stranger Than Fiction","author","fate","novelist","professor","writer",2006,40137776
"181","Robert De Niro",7.6,"Midnight Run","accountant","bounty hunter","fbi","mafia","mob",1988,38413606
"182","Morgan Freeman",7,"An Unfinished Life","abusive boyfriend","bear","car accident","ranch","wyoming",2005,8535575
"183","Denzel Washington",7.9,"Glory","army","black soldier","military uniform","prejudice","u.s. civil war",1989,26830000
"184","Robert De Niro",8.4,"Once Upon a Time in America","1920s","ambiguity","childhood friend","new york","speakeasy",1984,5300000
"185","Denzel Washington",7.5,"Cry Freedom","activist","editor","journalist","newspaper","south africa",1987,5899797
"186","Robin Williams",8,"Aladdin","arab","genie","magic","princess","reference to a thousand and one nights",1992,217350219
"187","Harrison Ford",7.6,"Indiana Jones and the Temple of Doom","children","studio logo segues into film","temple","village","white dinner jacket",1984,179870271
"188","Bill Murray",7.6,"The Royal Tenenbaums","brother brother relationship","family relationships","father daughter relationship","genius","thrown through a window",2001,52353636
"189","Harrison Ford",8.2,"Blade Runner","artificial intelligence","human android relationship","megacorporation","police detective","tech noir",1982,27000000
"190","Scarlett Johansson",7.8,"The Jungle Book","fire","jungle","remake","tiger","wolf",2016,362645141
"191","Bruce Willis",7.8,"Lucky Number Slevin","coroner","death","gay son","love","mistaken identity",2006,22494487
"192","Tom Cruise",8,"Rain Man","buick","convertible","last will and testament","savant","travel",1988,172825435
"193","Liam Neeson",7.9,"Taken","agent","cia","france","rescue","teenage abduction",2008,145000989
"194","Liam Neeson",8.9,"Schindler's List","german","german soldier","jew","jewish","nazi",1993,96067179
"195","Robert De Niro",7.9,"The Untouchables","corrupt judge","tax evasion","tough cop","white suit","year 1930",1987,76270454
"196","Johnny Depp",7.8,"Finding Neverland","boy","inspiration","reference to peter pan","stage play","widow",2004,51676606
"197","Robert De Niro",8.7,"Goodfellas","betrayal","gangster","mafia","organized crime","robbery",1990,46836394
"198","Robin Williams",7.5,"August Rush","baby","cellist","genius","prodigy","rhapsody",2007,31655091
"199","Morgan Freeman",9.3,"The Shawshank Redemption","escape from prison","first person narration","prison","prison cell search","wrongful imprisonment",1994,28341469
"200","Hugh Jackman",7.5,"Eddie the Eagle","1988 winter olympics","coach","ski jumper","winter","winter olympics",2016,15785632
"201","Anthony Hopkins",7.9,"The World's Fastest Indian","mortgage","motorcycle","speed","trailer","utah",2005,5128124
"202","Keanu Reeves",7.7,"Dangerous Liaisons","catholic","corruption","emotional abuse","france","seduction",1988,34700000
"203","Sylvester Stallone",7.2,"Rocky Balboa","boxing","fight","heavyweight champion","restaurant","retired boxer",2006,70269171
"204","Will Ferrell",7.2,"Old School","college","fraternity","friend","house","party",2003,74608545
"205","Christian Bale",8.2,"Howl's Moving Castle","anime","castle","demon","steampunk","witch",2004,4710455
"206","Harrison Ford",8.8,"Star Wars: Episode V - The Empire Strikes Back","duel","famous twist","rebel","rescue","snowy landscape",1980,290158751
"207","Scarlett Johansson",8,"Her","divorce","female frontal nudity","future","loneliness","operating system",2013,25556065
"208","Hugh Jackman",7.5,"Eddie the Eagle","1988 winter olympics","coach","ski jumper","winter","winter olympics",2016,15785632
"209","Anthony Hopkins",7.4,"Shadowlands","author","book","england","friend","oxford",1993,25842000
"210","Harrison Ford",8.5,"Raiders of the Lost Ark","archeological dig","archeologist","ark of the covenant","egypt","nazi",1981,242374454
"211","Anthony Hopkins",8.6,"The Silence of the Lambs","case file","fbi agent","psycho thriller","psychopath","serial killer",1991,130727000
"212","Johnny Depp",7.9,"Edward Scissorhands","creation","inventor","magical realism","scissors","suburb",1990,56362352
"213","Philip Seymour Hoffman",7.5,"Doubt","boy","catholic","nun","priest","student",2008,33422556
"214","Jason Statham",7.3,"The Bank Job","chase","heist","london england","mobster","safe deposit",2008,30028592
"215","Robert De Niro",7.2,"Everybody's Fine","bus trip","parental love","retirement","surprise visit","train ride",2009,8855646
"216","Robert Downey Jr.",7.1,"A Scanner Darkly","detective","drugs","substance d","undercover","undercover cop",2006,5480996
"217","Gerard Butler",7.2,"Chasing Mavericks","box office flop","no opening credits","surfing","two word title","year 1987",2012,6002756
"218","Christian Bale",7,"I'm Not There.","1960s","actor","horseback riding","reporter","riding the rails",2007,4001121
"219","Philip Seymour Hoffman",7.5,"Synecdoche, New York","actress","director","play","theatre director","warehouse",2008,3081925
"220","Christian Bale",7.5,"Equilibrium","cleric","dystopia","fascist","law","neo noir",2002,1190018
"221","Liam Neeson",7,"The Bounty","lieutenant","lifeboat","mutiny","sailing ship","ship",1984,8600000
"222","Nicolas Cage",7.7,"Adaptation.","book","orchid","screenwriter","thief","twin",2002,22245861
"223","Johnny Depp",7.7,"Fear and Loathing in Las Vegas","american dream","convertible","drugs","journalist","lawyer",1998,10562387
"224","Tom Hanks",7.3,"Big","friend","job","new york city","toy","wish",1988,114968774
"225","Will Ferrell",7,"Austin Powers: International Man of Mystery","cartoon on tv","reference to frankenstein","reference to jimi hendrix","scene during end credits","surrealism",1997,53868030
"226","Denzel Washington",7.9,"Glory","army","black soldier","military uniform","prejudice","u.s. civil war",1989,26830000
"227","Robert De Niro",8.3,"Raging Bull","boxing","domestic violence","hot temper","jealousy","rage",1980,45250
"228","Johnny Depp",7.9,"Ed Wood","1950s","director","friend","friendship","transvestism",1994,5887457
"229","Robin Williams",8,"Dead Poets Society","education","english teacher","poet","professor","student",1989,95860116
"230","Bruce Willis",7.8,"Moonrise Kingdom","1960s","boy scouts","boy scouts camp","coming of age","young love",2012,45507053
"231","Scarlett Johansson",7.2,"Vicky Cristina Barcelona","art","artist","painter","sex","summer",2008,23213577
"232","Denzel Washington",7.7,"Philadelphia","aids","city name in title","gay","homophobia","lawyer",1993,77324422
"233","Bill Murray",7.4,"Tootsie","actor","actress","friend","love","reputation",1982,177200000
"234","Kevin Spacey",8.4,"American Beauty","domestic violence","drug dealer","homosexuality","midlife crisis","unfaithfulness",1999,130058047
"235","Christian Bale",7.3,"Little Women","civil war","female protagonist","post civil war","reference to friedrich schiller","u.s. civil war",1994,50003300
"236","Robert De Niro",7.1,"Wag the Dog","death","election","hollywood","president","scandal",1997,43022524
"237","Denzel Washington",7.6,"The Great Debaters","college","debate","student","texas","wiley college",2007,30226144
"238","Scarlett Johansson",7.7,"Match Point","extramarital affair","infidelity","irony of fate","surprise ending","tennis",2005,23089926
"239","Anthony Hopkins",7.9,"The Remains of the Day","butler","housekeeper","manor","servant","service",1993,22954968
"240","Robert De Niro",8,"Brazil","black comedy","bureaucracy","dream","terrorist","wrongful arrest",1985,9929000
"241","Philip Seymour Hoffman",8.2,"The Big Lebowski","death","drug","nihilism","rug","white russian",1998,17439163
"242","Robert Downey Jr.",7.6,"Kiss Kiss Bang Bang","actor","detective sergeant","hotel","nightclub","thief",2005,4235837
"243","Bill Murray",8.1,"Groundhog Day","cult film","existentialism","groundhog day","time loop","trapped in a time loop",1993,70906973
"244","Tom Cruise",7.2,"Born on the Fourth of July","desert","drunkenness","religious mother","strict mother","vietnam war",1989,70001698
"245","Keanu Reeves",7.7,"Dangerous Liaisons","catholic","corruption","emotional abuse","france","seduction",1988,34700000
"246","Anthony Hopkins",7,"Bobby","campaign","chess","friend","hotel","senator",2006,11204499
"247","Robin Williams",7.3,"Good Morning, Vietnam","disc jockey","friendship","radio","vietnam","vietnamese",1987,123922370
"248","Robert De Niro",9,"The Godfather: Part II","1950s","corrupt politician","lake tahoe nevada","melancholy","revenge",1974,57300000
"249","Bill Murray",7.3,"St. Vincent","bullying","grumpy old man","school presentation","stroke","stroke recovery",2014,44134898
"250","Steve Buscemi",7.3,"Paris, je t'aime","baby","divorce","oscar wilde","pigalle","tourist",2006,4857376
"251","Denzel Washington",7.3,"Antwone Fisher","black american","extortion","navy","psychiatrist","sailor",2002,21078145
"252","Kevin Spacey",7.8,"Glengarry Glen Ross","office","pressure","real estate","robbery","sales",1992,10725228
"253","Harrison Ford",7.4,"Witness","amish","love","murder","police","train",1985,65500000
"254","Robert De Niro",7.5,"Jackie Brown","arms dealer","atf","bail","money","multiple perspectives",1997,39647595
"255","Matt Damon",7.4,"Rounders","breasts","cult film","loan shark","poker","reference to christy turlington",1998,22905674
"256","Jason Statham",7,"Crank","assassin","cult film","doctor","heart","poison",2006,27829874
"257","Scarlett Johansson",7,"Girl with a Pearl Earring","17th century","girl","maid","painter","painting",2003,11634362
